Coin,net_pnl,volume_usd,realized_trades,pnl_per_1k_volume
BADGER,1413.114219,153716.13999999998,73.0,9.193011345457935
MKR,1411.038791,31634.96,52.0,44.60377983724335
BIO,1280.6808919999999,150146.37,159.0,8.529549478951772
GRASS,1214.3636869999998,156915.52,125.0,7.73896480730523
XAI,1074.4240730000001,64998.32,6.0,16.53002836073302
YGG,1036.1502799999998,53533.63,21.0,19.355128355764403
CAKE,1017.5560750000002,38885.57,31.0,26.167960891405226
BRETT,928.7203009999998,144922.78,107.0,6.4083803871275435
HYPER,855.6709409999999,119127.12999999999,29.0,7.18283854399917
GMX,659.771213,124024.95,39.0,5.319665220586664
TRX,650.24289,73744.58,25.0,8.817500757343794
BLAST,625.197272,22402.65,22.0,27.90729096780961
POLYX,614.997423,32669.5,13.0,18.824818959580035
MATIC,611.280866,231562.53,19.0,2.639809065827705
SUSHI,590.9888960000001,47324.92,45.0,12.48790058176538
IMX,537.129934,11225.060000000001,32.0,47.850963291064815
@1,496.15143625,3661.69,18.0,135.4979357209376
DYDX,407.488461,397233.48,32.0,1.025816003726574
PIXEL,406.59139000000005,34839.78,18.0,11.670320248864948
MORPHO,400.74496500000004,69483.86,29.0,5.767453981399421
@74,371.219981,383.36,5.0,968.3325881677797
@125,368.7776427299999,5731.410000000001,14.0,64.34326679298809
PEOPLE,360.305882,1360.49,1.0,264.83537695977185
INIT,353.66530500000005,49061.87,15.0,7.208557378673092
USTC,343.114873,10848.34,26.0,31.628329587752592
UNI,333.10327499999994,44427.01,22.0,7.4977648732156394
UNIBOT,324.472456,2333.2599999999998,2.0,139.0639945826869
GMT,306.050214,66397.39,48.0,4.609371151486527
LDO,295.00893499999995,35277.39,47.0,8.362549922202295
SHIA,273.248883,1279.06,3.0,213.63257626694605
@37,271.784405,1850.98,6.0,146.83270753870923
kSHIB,257.617844,83627.17000000001,19.0,3.080551978501723
LOOM,214.53158900000003,1715.72,2.0,125.03881111137017
FET,211.413155,106291.12000000001,25.0,1.9890011037610664
ETC,204.56638600000002,1928.3799999999999,3.0,106.081989027059
AR,202.824324,10309.880000000001,11.0,19.672811322731203
MINA,198.492323,12246.55,7.0,16.20801964634938
CYBER,191.231674,1191.71,1.0,160.46829681717867
STG,179.758324,10728.33,5.0,16.755480489507683
GALA,177.46788899999999,19057.6,15.0,9.312184587776006
BNB,165.6795080000001,413782.44999999995,80.0,0.4004024530281556
REZ,159.192826,12262.95,18.0,12.98160931912794
RSR,159.06954800000003,19577.24,23.0,8.125228479601823
DOT,152.09599399999996,153984.59,47.0,0.9877351623302044
DYM,121.00333499999998,14764.329999999998,7.0,8.195653646321912
ZK,98.42641400000001,3515.14,32.0,28.000709502324238
BABY,97.874836,3903.33,2.0,25.074701857132244
ORDI,92.84187899999998,19765.6,19.0,4.6971444833448
AI,89.700023,16491.09,29.0,5.439302253519931
ATOM,85.55126299999998,7665.849999999999,40.0,11.16004917915169
RLB,75.469036,1914.8,2.0,39.41353457280134
@53,67.84256400000001,69.77000000000001,2.0,972.3744302708901
@35,67.005208,68.30000000000001,2.0,981.0425768667641
GAS,60.429019,739.53,1.0,81.71273511554637
MYRO,54.258748,47222.34,13.0,1.1490059154205403
@138,50.913881,109.53999999999999,4.0,464.79716085448246
@47,50.296289,51.13999999999999,2.0,983.5019358623388
@103,38.54462,40.0,4.0,963.6155000000001
@41,36.734866,38.239999999999995,1.0,960.6398012552302
SUPER,34.745228,1293.37,4.0,26.86410539907374
NEIROETH,34.018185,409.70000000000005,1.0,83.03193800341712
@31,33.200982,33.61,1.0,987.8304671228802
MEW,32.005233000000004,1305.31,7.0,24.51925826048985
@100,27.582335400000005,42.67,2.0,646.4104851183502
ARK,24.286700000000003,10111.660000000002,26.0,2.4018509324878403
@153,23.897512000000003,117912.92000000001,101.0,0.2026708523544324
ALGO,17.051839,3867.61,4.0,4.4088827467092075
@93,15.949897,16.33,1.0,976.7236374770363
@36,15.657666,16.1,1.0,972.5258385093167
@113,15.475058999999998,42.28,2.0,366.01369441816456
@33,13.561847,15.18,2.0,893.4023056653492
@39,12.234332,12.57,1.0,973.2961018297533
BOME,11.786324,1319.38,3.0,8.933229244038866
@38,9.406765,538.6700000000001,1.0,17.462945773850407
@40,7.139426999999998,413.94,4.0,17.247492390201472
kNEIRO,5.010645,882.27,3.0,5.679264850895985
@117,4.576633999999999,14.77,1.0,309.86012186865264
REQ,4.435486999999999,2277.6499999999996,13.0,1.9473962197879393
LISTA,3.7995150000000004,1994.73,1.0,1.9047765863049135
@114,1.308681,1.32,1.0,991.4249999999998
MAV,0.011829,21.049999999999997,1.0,0.5619477434679335
@44,0.0,0.77,0.0,0.0
@45,0.0,0.54,0.0,0.0
@6,0.0,0.03,0.0,0.0
@7,0.0,0.03,0.0,0.0
@46,0.0,0.5700000000000001,0.0,0.0
@48,0.0,0.68,0.0,0.0
@25,0.0,0.65,0.0,0.0
@61,0.0,0.62,0.0,0.0
@19,0.0,0.81,0.0,0.0
@18,0.0,0.46,0.0,0.0
@11,0.0,0.61,0.0,0.0
@32,0.0,0.01,0.0,0.0
@21,0.0,0.94,0.0,0.0
@30,0.0,0.69,0.0,0.0
@34,0.0,0.81,0.0,0.0
@17,0.0,0.0,0.0,
@42,0.0,0.74,0.0,0.0
@28,0.0,1.74,0.0,0.0
@15,0.0,1.11,0.0,0.0
@86,-0.00020994,10.17,0.0,-0.02064306784660767
@12,-0.002989,8.91,0.0,-0.3354657687991021
@68,-0.00314588,10.09,0.0,-0.3117819623389495
@24,-0.003845,2.71,1.0,-1.418819188191882
@16,-0.072478,35.9,1.0,-2.0188857938718665
@10,-0.076001,37.31,1.0,-2.037014205306888
@29,-0.086336,23.73,3.0,-3.638263801095659
@13,-0.141547,52.86,1.0,-2.677771471812335
@26,-0.266264,24.62,7.0,-10.814947197400487
@78,-0.48189234,6550.370000000001,0.0,-0.07356719391423688
